app_id,name,category,website_hint,one_liner,auth_methods,self_serve,self_serve_basis,gating_reason,api_surface,api_breadth_note,mcp_exists,mcp_note,buildability_verdict,blocker,composio_toolkit_exists,composio_auth_schemes,evidence_urls,confidence,verified,verification_note,manual_auth_methods,manual_self_serve,manual_api_surface,manual_buildability,manual_blocker
1,Salesforce,CRM and Sales,salesforce.com,"Cloud-based customer relationship management (CRM) platform for managing sales, customer service, and business workflows.","oauth2,token",True,"Free Salesforce Developer Edition accounts can be created instantly, offering immediate access to full API functionality and Connected App configuration.",,rest_and_graphql,"Extremely broad, supporting standard/custom data objects, metadata, tooling, analytics, user administration, and pub/sub streaming APIs.",True,Community-maintained MCP servers are available to connect AI models to Salesforce APIs.,yes,,True,['OAUTH2'],"['https://developer.salesforce.com/docs', 'https://developer.salesforce.com/signup']",high,True,,"oauth2,token",True,rest_and_graphql,yes,
2,HubSpot,CRM and Sales,hubspot.com,"Customer relationship management (CRM) platform offering sales, marketing, and customer service APIs.","oauth2,token",True,Developers can sign up for a free HubSpot Developer Account instantly and create private apps or OAuth apps to generate API tokens.,,rest_and_graphql,"Extremely broad, covering CRM objects (contacts, deals, companies, tickets), custom objects, marketing automation, CMS, workflows, and webhooks.",True,"Multiple community-maintained MCP servers exist for interacting with HubSpot CRM contacts, companies, deals, and tasks.",yes,,True,['OAUTH2'],"['https://developers.hubspot.com/', 'https://developers.hubspot.com/docs/api/overview']",high,True,,"oauth2,token",True,rest_and_graphql,yes,
11,Zendesk,Support and Helpdesk,zendesk.com,Could not research Zendesk – API unavailable,unknown,False,"Gemini API failed: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",Unable to verify due to API error,unknown,,False,,yes,,True,['OAUTH2'],['zendesk.com'],low,True,,"oauth2,token,basic",True,rest,yes,
12,Intercom,Support and Helpdesk,intercom.com,"AI-first customer service platform for support, messaging, and ticket management","oauth2,token",True,Developers can create a free Developer Workspace via the Intercom Developer Hub to get immediate access to access tokens and test APIs.,,rest,"Broad REST API covering conversations, tickets, contacts, articles, admins, teams, data attributes, and webhooks.",True,Community-maintained MCP servers exist for Intercom API integration.,yes,,True,['OAUTH2'],"['https://developers.intercom.com', 'https://developers.intercom.com/docs/references/rest-api/']",high,True,,"oauth2,token",True,rest,yes,
21,Slack,Communications and Messaging,slack.com,Could not research Slack – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,yes,,True,['OAUTH2'],['slack.com'],low,True,,"oauth2,token",True,rest,yes,
22,Twilio,Communications and Messaging,twilio.com,Could not research Twilio – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,no,No reliable data obtained,False,[],['twilio.com'],low,True,,"api_key,basic",True,rest,yes,
31,Google Ads,"Marketing, Ads, Email and Social",developers.google.com/google-ads,Could not research Google Ads – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,yes,,True,['OAUTH2'],['developers.google.com/google-ads'],low,True,,oauth2,True,rest,yes,
32,Meta Ads,"Marketing, Ads, Email and Social",developers.facebook.com/docs/marketing-apis,Could not research Meta Ads – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,yes,,True,[],['developers.facebook.com/docs/marketing-apis'],low,True,,oauth2,True,rest,yes,
41,Shopify,Ecommerce,shopify.dev,Could not research Shopify – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,yes,,True,[],['shopify.dev'],low,True,,"oauth2,token",True,rest_and_graphql,yes,
42,WooCommerce,Ecommerce,woocommerce.com/document/woocommerce-rest-api,Could not research WooCommerce – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,no,No reliable data obtained,False,[],['woocommerce.com/document/woocommerce-rest-api'],low,True,,"api_key,basic",True,rest,yes,
51,DataForSEO,"Data, SEO and Scraping",docs.dataforseo.com,Could not research DataForSEO – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,yes,,True,[],['docs.dataforseo.com'],low,True,,"api_key,basic",True,rest,yes,
52,SE Ranking,"Data, SEO and Scraping",seranking.com/api,Could not research SE Ranking – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,no,No reliable data obtained,False,[],['seranking.com/api'],low,True,,api_key,True,rest,yes,
61,GitHub,"Developer, Infra and Data platforms",docs.github.com/rest,Could not research GitHub – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,yes,,True,['OAUTH2'],['docs.github.com/rest'],low,True,,"oauth2,token",True,rest,yes,
62,Vercel,"Developer, Infra and Data platforms",vercel.com/docs/rest-api,Could not research Vercel – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,yes,,True,[],['vercel.com/docs/rest-api'],low,True,,token,True,rest,yes,
71,Notion,Productivity and Project Management,developers.notion.com,Could not research Notion – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,yes,,True,['OAUTH2'],['developers.notion.com'],low,True,,"oauth2,token",True,rest,yes,
72,Airtable,Productivity and Project Management,airtable.com/developers,Could not research Airtable – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,yes,,True,['OAUTH2'],['airtable.com/developers'],low,True,,"oauth2,token",True,rest,yes,
81,Stripe,Finance and Fintech,stripe.com/docs/api,Could not research Stripe – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,yes,,True,['OAUTH2'],['stripe.com/docs/api'],low,True,,"api_key,oauth2",True,rest,yes,
82,Plaid,Finance and Fintech,plaid.com/docs,Could not research Plaid – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,no,No reliable data obtained,False,[],['plaid.com/docs'],low,True,,api_key,True,rest,yes,
91,NotebookLM,"AI, Research and Media-native",cloud.google.com/gemini (Enterprise API),Could not research NotebookLM – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,yes,,True,[],['cloud.google.com/gemini (Enterprise API)'],low,True,,oauth2,False,rest,partial,Enterprise / Google Cloud only – not freely self-serve for most developers
92,Otter AI,"AI, Research and Media-native",help.otter.ai (MCP server),Could not research Otter AI – API unavailable,unknown,False,"Gemini API failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-pro is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}",Unable to verify due to API error,unknown,,False,,no,No reliable data obtained,False,[],['help.otter.ai (MCP server)'],low,True,,"oauth2,token",True,rest,partial,Limited public API + existing MCP is community/limited
